Titulo,Autor,Genero,Descripcion
El extraordinario caso de la hija del Doctor Velagos,"['Goretti Irisarri', 'Jose Gil Romero']","['Aventuras', 'Fantástico', 'Intriga', 'Relato']","Basado en hechos reales.Una madre que ha perdido a su hija recientemente acude angustiada al presidente de la Société Parisienne des Études Spirites, el considerado padre del Espiritismo.Le requiere para que lleve a cabo una insólita investigación: está convencida de que el atormentado fantasma de su pequeña ronda la casa.«—Por la noche oigo sus pasitos en el pasillo. Se pasea arriba y abajo como una pobre alma en pena. Y también he escuchado sus lamentos… Está llorando, monsieur. Mi hijita muerta sigue en la casa y está llorando»."
Tiempo de morir,['Louis Aragon'],"['Novela', 'Otros']","Juan Sáyago regresa a su pueblo después de haber cumplido una condena de dieciocho años por la muerte de un provocador. Sale de la cárcel con el propósito de rehacer su vida. Los hijos del muerto crecieron alimentados por el rencor y el deseo de venganza, además de desarrollar el mito de que su padre fue muerto a traición. Juan comprende lo irracional y lo inevitable en medio de una lucha por una absurda situación."
Infancia en Berlín hacia 1900,['Walter Benjamin'],"['Otros', 'Relato']","En Infancia en Berlín hacia 1900, Benjamin se embarca en una serie de relatos breves (no más de cuatro o cinco páginas cada uno), caracterizados por una gran densidad poética. A través de estas pequeñas piezas el autor caracteriza la ciudad que en 1892 lo viera nacer. Si bien no dejan de ser breves anécdotas sobre las plazas, el hogar, las calles, los libros, el tiovivo —episodios de la infancia que pueden parecer nimios en una primera lectura— la ternura de estas páginas no oculta el rico pensamiento subyacente en el cual se podrá reconocer al gran pensador.Si bien lo hace desde los ojos del niño que una vez fue, Walter Benjamin está evocando una ciudad decadente en la antevíspera de la catástrofe, la Gran Guerra. Algunas décadas más tarde, durante la Segunda Guerra, el propio Benjamin terminaría su vida en el exilio, suicidándose mientras intentaba huir de la GESTAPO."
París en el siglo XX,['Julio Verne'],"['Ciencia ficción', 'Novela']","París, 13 de agosto de 1960. La Sociedad Nacional de Crédito Instruccional celebra su ceremonia anual, en la cual se premian los logros académicos alcanzados por los jóvenes graduados franceses. En ediciones anteriores, la mayoría de los estudiantes premiados procedían de disciplinas tales como Matemáticas, Economía, Ingeniería, y Ciencias Naturales. La excepción de la regla, en el certamen de 1960, resulta ser Michel Jérôme Dufrénoy, un joven estudiante de Literatura, que trata de incursionar ambiciosamente en los terrenos de la poesía y la dramaturgia. Cuando Michel sube al podio a recibir su premio, es abucheado con numerosos insultos y sarcasmos. Es obvio que Michel es juzgado como un extraño en este mundo de los años sesenta dominado por el dinero y la ciencia. A pesar de ello, el joven tratará de hallar un lugar para sí dentro de la industrializada e insensible sociedad parisiense de la época.El azaroso descubrimiento en 1989 del manuscrito de esta novela, al que durante mucho tiempo se dio por perdido, revela ciento treinta años después una obra extraña que renueva nuestra comprensión del escritor. Verne manifiesta plenamente su dimensión de novelista en este cuento sombrío lleno de valiosas informaciones sobre la sociedad y la cultura de su época, así como de visiones fulgurantes sobre las sociedades urbanas de la nuestra. Son páginas llenas de profecías y predicciones que en su día el editor P. J. Hetzel rechazó y que por ello jamás llegaron a ser publicadas en vida del autor."
"La rueda del tiempo: los chamanes del antiguo México y sus pensamientos acerca de la vida, la muerte y el universo",['Carlos Castaneda'],"['Ensayo', 'Espiritualidad']","La rueda del tiempo sintetiza la sabiduría perenne de los chamanes del antiguo México tal como le fue transmitida a Carlos Castaneda por su maestro y mentor don Juan Matus. La valiosa aportación de este libro radica en que vertebra las asombrosas y fascinantes enseñanzas que Castaneda fue hilando en ocho libros a lo largo de veintiún años. La visión global de La rueda del tiempo permite al lector percibir la inalterable dirección que siguieron las enseñanzas de don Juan durante el tiempo en que guió a Castaneda.Los más versados en la obra de Castaneda encontrarán en este libro un valiosísimo guión con el que recapitular y estructurar la información aparecida durante todos estos años. Aquellos que hasta ahora no se decidieron a aventurarse tras esa saga, tal vez por su extensión y complejidad, hallarán aquí una impecable síntesis destilada en el misterioso alambique de la rueda del tiempo. En todo caso, he aquí una fascinante colección de descripciones, dichos e ideas que proceden del mundo de los chamanes del antiguo México y que serán, sin duda, una interesante fuente de lectura y reflexión."
Critón,['Platón'],"['Ensayo', 'Filosofía']","Critón es un diálogo corto pero importante. Es una conversación entre Sócrates y su amigo adinerado Critón. Hablan sobre la justicia (diké), la injusticia (adikia), y sobre la apropiada respuesta a la injusticia. Sócrates piensa que a la injusticia no se la debe responder con otra injusticia, y rehúsa la oferta de Critón, el cual le propone financiar su huida de la prisión. Este diálogo contiene un primer discurso sobre la teoría del contrato social del gobierno.Sócrates desarrolla una argumentación en respuesta a lo expuesto por Critón, que se basa en sus profundas convicciones en cuanto a los principios éticos fundamentales."
Ira mortal,['Raúl Garbantes'],"['Intriga', 'Novela', 'Policíaco']","El fantasma de su pasado la encuentra El presente le dará a escoger hacia dónde llevar sus pasos Un caso le cambiará su vida Del autor bestseller de Juro vengarte llega esta vibrante quinta entrega de la serie Agente especial Ainara Pons. Ainara intenta rehacer su vida. Ella ha realizado un gran esfuerzo para cambiar sus malos hábitos, y hace meses que no prueba el alcohol. Cuando las cosas en el trabajo empiezan a mejorar, el pasado parece alcanzarla y sus viejos errores le complican la situación actual. Sin embargo, este no es su mayor problema. Una organización criminal china ha venido trabajando de manera clandestina en Nueva York. Se presume que esta banda extorsiona a otros chinos, comercializa órganos humanos y trafica drogas. Ainara y su equipo darán fuertes golpes a esta mafia china de Nueva York, lo que traerá graves consecuencias para ella y las personas que más quiere. Es entonces que Ainara tomará este caso como algo personal."
Hijos de Clumba,['Alexandre Alemany Moyà'],"['Aventuras', 'Histórico', 'Novela']","Un libro que te transportará al s. IV antes de Cristo, una época convulsa donde Grecia y Cartago pugnan por convertirse en la mayor potencia del Mediterráneo. Déjate llevar al interior de una compañía de honderos en el fragor de la batalla, siente como el agua del mar baña tu rostro mientras formas parte de la tripulación de un barco pirata de la antigüedad y sigue a nuestros protagonistas en una búsqueda por todo el mediterráneo occidental. Todo esto y mucho más, es lo que esta novela te ofrece.La vida de los honderos baleares como nunca antes te la han explicado.Una novela histórica llena de acción y aventuras que te sorprenderá.Las vidas de las personas más dispares son capaces de cruzarse entre las aguas turbulentas del Mediterráneo del siglo IV a.C.Entremezclando realidad y ficción, y con una gran dosis de acción y de aventura, esta historia nos transportará a un pasado remoto donde la gente de la Isla de Clumba (actual Mallorca) era capaz de conseguir proezas de las que ahora nos sorprenderíamos."
Los recuerdos del hombre del saco,"['Goretti Irisarri', 'Jose Gil Romero']","['Relato', 'Terror']","Un periodista está realizando una serie de entrevistas a un asesino que lleva preso cinco años y que es conocido como el hombre del saco.Tras la primera entrevista, el periodista comienza a recordar unos misteriosos acontecimientos para los que no encuentra explicación."
Por ti,['Laimie Scott'],"['Novela', 'Romántico']","No sabía lo que era sentir algo por alguien, hasta la que conoció. Travis siempre se ha regido por el honor y la palabra. Es un hombre meticuloso y disciplinado… hasta que conoce a Helen. La nueva vecina que acababa de mudarse a su piso. Él sabe que no le conviene intimar con ella, pero ¿cómo evitarlo cuando poco a poco se va adentrando en él de una manera imperceptible?Helen es consciente de que no puede permitirse a nadie en su vida. Es una testigo protegida y sabe que el peligro la sigue allá donde vaya. Pero cuando conoce a su vecino todo esto comienza a carecer de sentido. Y el corazón no sabe distinguir lo que está bien de lo que no. Cuando descubre su identidad ya es tarde. Y solo podrá confiar en él para seguir con vida, pese a todo.Travis solo tendrá que evitar dejarse llevar por el corazón y volver a ser el hombre frío que creía haber dejado atrás, si quiere mantenerla con vida."
La bailarina y el rubí,['Barry Unsworth'],"['Histórico', 'Novela']","A mediados del siglo XII, Palermo se había convertido en un auténtico crisol de civilizaciones, razas, lenguas y religiones, y ni siquiera la desastrosa segunda cruzada impidió que musulmanes, judíos, cristianos, griegos o normandos continuaran viviendo en aparente armonía.Sin embargo, a menudo las apariencias engañan y los individuos no son capaces de advertir el peligro que la deriva de la historia supone para ellos.Thurstan de Beauchamp, el protagonista de esta novela, es hijo de un caballero normando pero trabaja para un musulmán al servicio del rey Rogelio de Sicilia; lleva años enamorado de lady Alicia, y sin embargo cae en las redes de la bella bailarina Nesrin.Con el corazón dividido y en intenso debate interior, Thurstan se ve arrastrado a una perversa trama que amenaza la vida de su mentor y de su rey. Sólo uno de los dos saldrá indemne.Tensiones políticas y religiosas, erotismo, espionaje, personajes fascinantes, soberbia recreación histórica y una trama absorbente hacen de esta novela una lectura irresistible."
Memorias de los Andes,['José Luis Inciarte'],"['Biografía', 'Crónica']","José Luis Inciarte, Coche, relata el viaje espiritual y emocional que realizó durante los setenta y dos días que estuvo malherido y perdido en los Andes chilenos.En ese mosaico irrepetible de la sociedad que formaron los sobrevivientes de los Andes en el Valle de las Lágrimas, en 1972, siempre me sorprendió –cuando los escuchaba y escribía sobre ellos– la actitud y el rol de Coche Inciarte, calando hondo en la condición humana. Lo conocía de antes y terminé de conocerlo después.Los diferentes puntos de vista convergían para conformar un mosaico humano difícil de advertir a simple vista: si algunos aportaban la energía, la fuerza, la creatividad, la esperanza, el coraje, el tenaz apego a la vida, Coche tuvo el talento suficiente para aportar el combustible más simple y más difícil, el antídoto para el infierno: la ternura.Se requiere un temple muy especial para compadecerse de otros cuando la vida se te escapa día a día, minuto a minuto. Incluso, en el caso de Coche, con fecha de vencimiento: la Nochebuena del 72, como él lo había dispuesto. Este libro refleja, con palabras e ilustraciones, de la manera más genuina, al Coche de la montaña, tal como lo recuerdan y fundamentalmente lo sienten los otros sobrevivientes. Cuando alguien, las más de las veces del grupo de los jóvenes, se quebraba, ahí aparecía, como una sombra protectora, la presencia sólida y mística de un hombre bueno: esos que mueven montañas, o, en su caso, hacen que el que se quiebra vuelva a erguirse, movido por su naturaleza inspiradora.El estilo de Coche es su espejo: fuerte y dulce, rotundo y suave. No utiliza el texto o las ilustraciones para embellecer la realidad: el autorretrato es bello en sí mismo. Con él, el lector aprende una lección imperecedera, que se la lleva en el corazón: si en una situación al borde de la explosión, Coche o su evocación están a su lado, no todo está perdido."
Carolina Grau,['Carlos Fuentes'],"['Drama', 'Relato']","«No hay un tiempo más peligroso para el alma que éste». El carcelero tiene su carcelero y éste al suyo y así al infinito. Tú y yo somos los eslabones finales de una larga cadena de sumisiones. Así está ordenado el mundo, mi joven amigo. ¿Hay otra salida? Eso dice el protagonista de uno de los nueve cuentos que integran esta obra, por donde Carolina Grau transitará como presencia sutil, como persona, como fantasma y como enigma, trazando siempre un fino halo de misterio. Los lectores se preguntarán si lo que leen son hechos de la imaginación, fragmentos de sueños o terribles realidades que permanecieron ocultas. La realidad también son las palabras, aunque a veces sirven de aplazamiento entre un horror y el siguiente."
El país del olvido,['Xavier-Marie Bonnot'],"['Novela', 'Policíaco']","Nueva Guinea, 1936. El doctor Delorme, Robert Ballancourt y su guía, Kaingara, remontan el río Sepik en busca de las cabezas momificadas que utilizan los papúes en sus ritos ancestrales…Marsella, setenta años después. El comandante de policía Michel de Palma descubre el cuerpo asesinado de Fernand Delorme, su rostro ataviado con una máscara ritual. Delante de él, un ejemplar de Tótem y tabú, de Freud, abierto por la página 213. Olvidado en una estantería de la biblioteca, el diario de a bordo de la goleta que llevó a los antropólogos a Papuasia, y en una vitrina de su despacho, donde debería haber un cráneo sagrado, el vacío…A partir de ese momento las incógnitas y los asesinatos se multiplican. ¿Se trata de un ajuste de cuentas entre traficantes de bienes culturales o de un asesino en serie? Cautivado por los relatos del diario y por las aventuras de los dos exploradores, Michel de Palma está convencido de que la respuesta a las extrañas muertes se encuentra en los textos de Freud y Lévi-Strauss y, sobre todo, en los ritos sagrados que se practican en algún lugar a orillas del río Sepik."
Marathon man (Tr. Francisco Elías),['William Goldman'],"['Intriga', 'Novela']","Thomas Babe Levy es un apasionado corredor neoyorquino de maratón. Su hermano Henry trabaja para el gobierno de los Estados Unidos y está tras la pista de unos criminales, uno de los cuales es el dentista Dr. Christian Szell, un ex nazi, que tiene escondida en Nueva York una cantidad importante de diamantes. Szell cree que Thomas sabe cómo llegar a los diamantes y le hace apresar. Se ocupa personalmente de torturarlo para sacarle la información. Thomas no tiene ni idea de qué se trata y logra escapar con un diente perforado por el dentista."
Biografías literarias latinas,['Varios Autores'],"['Biografía', 'Ensayo']","Este volumen incluye varios textos dedicados a la vida y la obra de poetas, gramáticos, oradores e historiadores, escritos a su vez por autores de la Antigüedad. En realidad, son dos los textos fundamentales que con el mismo título, De viris illustribus (Sobre hombres ilustres), enfocan la materia desde dos puntos de vista casi opuestos: el romano y el cristiano. Por una parte, Suetonio se ocupa de los hechos y escritos de los poetas Terencio, Virgilio, Tibulo y Lucano, de los historiadores Salustio y Plinio el Viejo y de varios gramáticos y rétores. Por otra parte, san Jerónimo, en una obra homónima pero desde un universo moral distinto, compiló 135 notas sobre escritores cristianos en griego y en latín, que comienzan con san Pedro y concluyen con el propio san Jerónimo, y acepta a judíos y herejes —cosa que san Agustín deploró—; es un primer manual de patrología escrito con estilo sencillo y sin adornos, una preciosa fuente de información y una obra pionera que abrió nuevos caminos.Este volumen se completa con unos breves textos de Valerio Probo (sobre Lucrecio, Virgilio y Persio), Servio y Focas (ambos dedicados a Virgilio), Vacca (sobre Lucano) y un anónimo sobre Juvenal."
Corazón de gitana,['Gustave le Rouge'],"['Aventuras', 'Intriga', 'Novela']","Las aventuras del «misterioso doctor Cornelius» son sin duda una de las obras maestras de la novela negra popular de la Belle Époque. Le Rouge mezcla intriga y visión científica en un universo novelístico de gran originalidad. De Nueva York a Bretaña, del Gran Oeste americano a la Isla de los ahorcados, la pluma de Le Rouge lleva al lector a lugares asombrosos, misteriosos y enigmáticos, donde chocan dos concepciones antagónicas del mundo: Una, encarnada por el científico francés Prosper Bondonnat, cuyas investigaciones se centran únicamente en añadir una piedra al «radiante edificio de la modernidad»; la otra, por el malvado doctor Cornelius Kramm, cirujano plástico estadounidense, «escultor de la carne humana» e inventor de la «carnoplastia», cuya obsesión es esencialmente el poder y el dinero."
La felicidad no puede comprarse,['Hans Hellmut Kirst'],"['Novela', 'Otros']","Hans Hellmut Kirst se ha hecho famoso con su trilogía «Cero-ocho-quince», formada por los títulos La original rebelión del cabo Asch, Aventuras bélicas del sargento Asch y La última rebelión del teniente Asch. En ellos describe con su prodigiosa ironía y su inimitable penetración los diversos aspectos de la vida militar. Posteriormente ha publicado Nadie escapará, la novela de la guerra atómica, que ha sido calificada como «espantosamente interesante» y supone una llamada a la razón y a la conciencia de todos. En su última obra La felicidad no puede comprarse, partiendo de un misterioso robo, que desencadena el hundimiento del gerente de la empresa, nos narra con gran humanidad la apasionante historia del encuentro de un hombre con su propia felicidad. En esta novela se unen el interés de la intriga policíaca y la preocupación por la situación del hombre en un mundo en que la comprensión es rara."
Hasta que te vuelva a ver,['Andrea Milano'],"['Drama', 'Histórico', 'Novela', 'Romántico']","El horror de la guerra irrumpe en las vidas de las primas Isabela y Madeline Eiserman. Cuando el ejército nazi comienza a perseguir a su familia, los juegos, la música, las costumbres y los sueños se vuelven imposibles. Mientras tanto, en Buenos Aires, los hermanos Francisco, Santiago, Rosario y Pedro Navarro Soler intentan, como pueden, superar una tragedia y salir adelante. Francisco se pierde en la noche porteña y se mete en negocios turbios, Santiago se resiste a cumplir con un mandato familiar, Rosario debe aceptar una realidad que nunca había imaginado y Pedro decide consagrar su vida a Dios.En esta apasionante novela coral los destinos de estas dos familias se unirán para siempre por sobre los escombros que dejó la guerra, las pasiones prohibidas, las mentiras y el miedo.Ambientada simultáneamente en los guetos y campos de concentración donde fueron asesinadas miles de personas y la Buenos Aires glamorosa de los cabarets y las boîtes donde, con un bolero sonando de fondo, se cruzan Tita Merello y Luis Sandrini con Eva Perón y Juan Duarte. En Hasta que te vuelva a ver Andrea Milano logra contar una apasionante historia de amor e intriga, surgida del peor de los infiernos."
Fuego mortal,['Raúl Garbantes'],"['Intriga', 'Novela', 'Policíaco']","La agente Ainara Pons regresa en la cuarta novela de la serie: Ella deberá resolver el caso de un incendiario en Nueva York, descubrir al culpable del homicidio de dos de sus mejores amigos, y encarar a un misterioso hombre que la sigue… Ainara no se encuentra en su mejor momento. Ha pasado un año desde que perdió a su novio, Danny Reed, y aún le está costando vencer las memorias del pasado. Sin embargo, ella decide volver a trabajar en el FBI. Junto con los agentes Bennett y Tanaka, Ainara investigará el caso de un pirómano homicida que ha ocasionado incendios en diferentes ciudades del estado de Nueva York. Por otro lado, en el distrito de Queens, Ainara descubrirá el asesinato de una pareja de veterinarios amigos de ella. La hija de esta pareja ha desparecido y Ainara presume que ha sido raptada. Ainara también se percatará que un hombre misterioso la está siguiendo. ¿Quién es este personaje? ¿Estará relacionado a los incendios?"
Nieve Blanca,"['Goretti Irisarri', 'Jose Gil Romero']","['Relato', 'Terror']","En su camino hacia una vieja mina de diamantes, siete bandidos terminan cruzándose con una india llamada Nieve Blanca, que huye de una mujer que ha intentado asesinarla."
Tú eres tu lugar seguro,['María Esclápez'],"['Autoayuda', 'Ensayo']","Un nuevo libro para comprender tu historia, hacer las paces con el pasado, reconectar contigo y los que te rodean y hacer de ti tu lugar seguro.Con Me quiero, te quiero, María Esclapez ya ha ayudado a miles de lectores a sanar sus relaciones y a mejorar su autoestima. Ahora se centra en la importancia de sanar el pasado y las heridas emocionales de la infancia para poder relacionarnos mejor y vivir nuestro mejor presente.«¿Por qué siento lo que siento? ¿De dónde viene mi malestar? ¿Cómo he aprendido a relacionarme con los demás y conmigo mismo? ¿Cómo influye el tipo de apego que desarrollamos en la infancia en nuestra vida adulta? Y, lo más importante: ¿cómo puedo sanar mis heridas y vivir en paz en mi presente?»María Esclapez, psicóloga clínica, sexóloga y terapeuta de parejas, te acompaña a descubrir cómo empezar a sanar tu pasado y mejorar tu presente. Con ejemplos prácticos de la propia autora y otros extraídos de consulta.Tú eres la persona más importante de tu vida, haz de ti tu lugar seguro.¿Qué encontrarás en este libro?-Anécdotas, experiencias de la autora y situaciones extraídas de casos reales en consulta.-Ejercicios de autoconocimiento, guiados por la autora, para comprender la raíz de nuestros problemas y empezar a ponerles solución.-Esquemas, radiografías de conversaciones de Whatsapp y otros recursos gráficos que nos ayudan a comprender mejor el contenido.-Propuestas para poner en práctica y sacar el mayor partido a tus relaciones."
Estaré sola y sin fiesta,['Sara Barquinero'],"['Novela', 'Otros', 'Realista', 'Romántico']","¿Quién es Yna? ¿Por qué su diario íntimo, crónica de su enamoramiento de Alejandro en 1990, ha aparecido en un contenedor de Zaragoza? La protagonista de Estaré sola y sin fiesta no puede evitar hacerse estas preguntas cuando encuentra el viejo cuaderno manuscrito de Yna. Hay algo en la prosa sencilla de esa desconocida que la empuja a querer saber más. Su historia tiene una fuerza contagiosa que, a pesar de la distancia, la obliga a pensar en sí misma, hasta el punto de dejar toda su vida en pausa para dar comienzo a una investigación que la llevará a Bilbao, Barcelona, Salou, Peñíscola y, finalmente, de vuelta a Zaragoza. ¿Es cierto que nadie fue al cumpleaños de Yna el 11 de mayo de 1990? ¿Tiene sentido que el amor de su vida nunca la llamara? ¿A qué respondía esa gran obsesión romántica? ¿Y dónde estarán ahora sus protagonistas? ¿Seguirán vivos?Con ecos de Roberto Bolaño y Julio Cortázar, la jovencísima filósofa y escritora Sara Barquinero construye una asombrosa historia de deseo y de intriga que recorre España, y que es la primera piedra de un ambicioso proyecto narrativo: un regreso a la novela filosófica sin renunciar al pulso vertiginoso."
Bendita mi lengua sea. Diario íntimo,['Gabriela Mistral'],"['Crónica', 'Memorias']","El intenso y poderoso lenguaje de Gabriela Mistral queda de manifiesto en las vivenciales páginas de estos sorprendentes Cuadernos de asuntos varios de la autora: las lucideces, los ánimos, las desventuras, las alucinaciones, las verdades muchas y de siempre, ¿por qué no las fabulaciones? Con esa donosa manera de contar –“mi bendita lengua”, “mi lengua viva”-, nos revela ahora su vida desde ella misma, “echando a la hoguera cuanto es mío”. Manifestaciones de escritura y de alma –“la recadera que soy”– que permiten conocer, entender y comprender en humana plenitud a la Premio Nobel chilena. La presente edición actualizada incorpora tres nuevos y sorprendentes Cuadernos en sus develaciones y originalidades (Cuaderno de la Patagonia, Cuaderno de Santiago, Cuaderno del paladar); así también otros varios no conocidos e inéditos textos, tomados referencialmente del “Legado Literario de Gabriela Mistral” (Archivo del Escritor, Biblioteca Nacional de Chile), que enriquecen y complementan las tan singularísimas y vivenciales páginas de cada uno de estos reveladores Cuadernos de vida. En esta Bendita mi lengua sea es válido y certero este admirativo voto de vida o resuelto artículo de fe en Gabriela Mistral: “Cuando la vejez plena ya me cancele rejas y me clave en un rincón, entonces tal vez diga las muchas cosas que he vivido y que no tengo dichas”. También: “Cuento esto para ustedes por si cualquier día mi salud, curiosamente inestable, da una sorpresa. Sean ustedes mi lengua viva de muerta”. Así sea. JAIME QUEZADA"
Niña de octubre,['Linda Boström Knausgård'],"['Biografía', 'Crónica']","Entre 2013 y 2017, Linda Boström Knausgård fue internada durante varios periodos en un centro psiquiátrico sueco. Allí fue sometida, en contra de su voluntad, a terapia electroconvulsiva (TEC), lo que antes se conocía como electrochoque, una práctica cada vez más cuestionada por sus posibles efectos secundarios. A medida que avanzaba su tratamiento en «la fábrica», sus recuerdos palidecían, poniendo en riesgo su identidad y su don más preciado, pues ¿qué es un escritor sin memoria?Niña de octubre es tanto una impugnación airada de determinadas prácticas psiquiátricas como un intento desesperado por aferrarse a los recuerdos, principal muro de contención de un yo frágil y desmembrado. De encierro en encierro, la narradora lucha por retener los tenues hilos que la unen al mundo exterior y vertebran el relato de su vida: el deslumbramiento de las primeras lecturas infantiles, una escapada romántica a Venecia, el goce trascendente de la maternidad, pero también la sombra alargada de un padre atormentado, la melancolía que desde muy joven acecha sus días, y el lento derrumbe de su matrimonio con un famoso escritor. En suma, las muescas de una biografía difícil, pero receptiva al amor, la belleza y la redención, siempre preferibles, en su contingencia, a «la vida de nadie» del paciente psiquiátrico."
Cuerpos malditos,['Lucía Baskaran'],"['Drama', 'Novela']","¿Viste tu vida pasar por delante de tus ojos antes de morir? ¿Era yo la protagonista de alguna de esas imágenes? ¿Cuál fue tu último pensamiento? ¿Llegaste a quererme alguna vez? ¿Para quién eran esas flores?Martín murió hace más de un año y Alicia no deja de hacerse esas preguntas, atormentada por el recuerdo de quien fuera su prometido. Apenas tiene veintiocho y ya es viuda, pero en los arcenes de su luto aguardan una nueva pareja, el reencuentro con su mejor amiga y el fantasma de una madre ausente.Cuerpos malditos es una novela breve y áspera sobre cómo nos transforman las pérdidas. La historia de una mujer que busca rehacer su vida al tiempo que ahonda en el pasado para desenredar los motivos de su infelicidad: una adolescencia marcada por la aparición del deseo, la violencia, la dificultad para reconocer su propio cuerpo y las heridas del primer amor y del primer desengaño.Lucía Baskaran escribe sobre la asfixia de las familias, el cuerpo y la amistad con la brutal elegancia de quien entiende lo humano."
El pesimista corregido,['Santiago Ramón y Cajal'],"['Humor', 'Relato']","«El pesimista corregido» fue escrito en 1905, como divertimento, sin pretensiones científicas ni filosóficas, aunque sí —sin disimulo— con objetivo moralizante: las limitaciones humanas no han de verse como una tragedia sino como valores que nos sitúan en la perspectiva adecuada para descubrir la belleza de las cosas y de las personas.Juan Fernández, protagonista de esta historia, era un doctor joven, de veintiocho años, serio, estudioso, no exento de talento, pero harto pesimista y con ribetes de misántropo. Huérfano y sin parientes, vivía concentrado y huraño en compañía de una antigua ama de llaves de su familia."
Sueños de robot,['Isaac Asimov'],"['Ciencia ficción', 'Relato']","El extraordinario divulgador científico y maestro de la narrativa que es Asimov nos ofrece en este magnífico libro de relatos una aproximación profunda al fenómeno de los robots, en el cual este autor es autoridad indiscutible.¿Qué papel desempeñarán en un futuro más o menos lejano estos extraños mecanismos creados por el hombre casi a su imagen y semejanza?¿Cómo influirán mañana los robots en la vida de la Humanidad? Asimov nos brinda aquí unas narraciones que nos deleitarán y, al mismo tiempo, nos darán claves que, sin duda, nos moverán a la reflexión… y quizás a la preocupación.Las historias aparecen espléndidamente ilustradas por Ralph McQuarrie, diseñador de numerosas películas de ciencia ficción.Contenido:Introducción de Isaac AsimovEl pequeño robot perdido (Little lost Robot, 1947).Sueños de robot (Robot Dreams, 1986).¿Criar un hombre? (Breeds There a Man...?, 1951).Anfitriona (Hostess, 1951).Sally (Sally, 1953).Esquirol (Strikebreaker, 1956).La máquina que ganó la guerra (The Machine that Won the War, 1961).Los ojos hacen algo más que ver (Eyes Do More Than See, 1965).El sistema marciano (The Martian Way, 1952).Privilegio (Franchise, 1956).El chistoso (Jokester, 1956).La última pregunta (The Last Question, 1956).¿Le importa a una abeja? (Does a Bee Care?, 1957).Rima ligera (Light Verse, 1973).La sensación de poder (The Feeling of Power, 1957).Escriba mi nombre con una S (Spell My Name With an S, 1958).El chiquillo feo (The Ugly Little Boy, 1958).La bola de billar (The Billiard Ball, 1967).Amor verdadero (True Love, 1977).La última respuesta (The Last Answer, 1979).Que no sepan que recuerdas (Lest We Remember, 1982)."
La patria capicúa,['Martín Caparrós'],"['Crónica', 'Viajes']","Si alguna vez me ha dado mucha envidia un bigote, fue el de Gabrielle Goettle. Gabrielle Goettle tiene menos de cincuenta años, ciento diez kilos a la sombra y unos pantalones verdes donde no cabe entero el ringling brothers. Gabrielle Goettle es de verdad imponente. Erna me había insistido para que la encontráramos: nunca la había visto, pero me decía que sus crónicas en Die Tageszeitung tenían algo que ver con las mías y que seguro que nos íbamos a entender bien. Die Tageszeitung quiere decir ""el diario"" y es el diario ¿alternativo? de Berlín: todos lo llaman Taz. Gabrielle ya era ácrata en mayo del 68 y, desde entonces, ha pasado por todas las peleas, con su bigote en ristre. Su bigote es un gesto tremendo: no un bozo, un vello, una sombra sobre el trémulo labio. No: auténticos mostachos, la bandera altanera de quien quiere decirles que no es una de ellos. Gabrielle Goettle vive en uno de esos barrios suburbanos de Berlín, llenos de grandes árboles de pura raza aria. En su casa hay un perro insaciable, muebles dispares, un baño tapizado con avisos fúnebres, un retrato clásico de Marx y el famoso de Lenin en la costanera de San Petersburgo, ventanas como mundos, alfombras viejas, toneladas de libros y una pecera con grillos cantarines, alimentados a la media naranja. Gabrielle Goetlle se ríe de casi todo: se ríe como nadie. Gabrielle Goettle nos ofrece un té con pastelitos y nos cuenta historias. Gabrielle Goettle, sobre todo, cuenta y piensa historias. Nos cuenta que hace unos meses estaba paseando, con su amiga, por un bosque en Turingia, en el antiguo Este. Y que en un momento, cansada, se sentó sobre un tronco recién cortado y, por hacer algo, empezó a revolver la tierra con una ramita. Lo primero que apareció fue una cabecita de muñeca, de porcelana, del tamaño de una uña. Siguieron revolviendo: al cabo de tres horas, Gabrielle y su amiga habían encontrado dos docenas de muñequitas de porcelana del tamaño de un dedo. Gabrielle las envolvió, prolija, en su pañuelo palestino. Después contó los anillos del tronco recién desarraigado, y supuso que tenía, por lo menos, ciento treinta años. O sea que las muñecas tenían que ser de mediados del siglo XIX, de los tiempos de Marx. Gabrielle llevó unas cuantas a un museo de juguetes, donde algún estudioso le dijo que debían ser de 1860, más o menos, de una fábrica en Turingia. En el primer mundo, esas fábricas duran. Gabrielle se puso a investigar y descubrió a un señor de más de ochenta años que había sido el director de la fábrica poco después de la guerra. Un día, decidió ir a verlo…"
Inquisición y Constitución en España,['José Pérez Vilariño'],"['Ensayo', 'Historia', 'Política', 'Sociología']","El tema central de «INQUISICIÓN Y CONSTITUCIÓN EN ESPAÑA» es la abolición-restauración del Tribunal en las Cortes de Cádiz. El centro de la polémica no es otro que la dialéctica autoridad-libertad en un momento de cambio social global. Por ello, no ha perdido actualidad, ya que el tema sigue ocupando el centro del debate académico y el de la lucha política en este mundo nuestro de continuos e ininterrumpidos procesos y cambios."
